id,client_id,designer_id,category
919757,3741782,324308,product-label-design
904936,1186503,3591402,postcard-flyer-design
901814,3658982,2896631,illustrations
881844,2639760,3150826,illustrations
897191,3636943,3313868,book-cover-design
917608,1863133,2275778,product-label-design
915740,3723216,971348,web-design
890775,2617256,2179278,t-shirt-design
901504,3654268,2015286,postcard-flyer-design
887477,3590832,3395148,illustrations
916912,2868083,1619235,book-cover-design
912352,1927665,2638617,book-cover-design
894264,1704707,2965137,banner-ad-design
912871,3520073,1402689,product-label-design
920034,3726641,3096107,product-label-design
895281,3627425,2573733,brochure-design
891444,3609849,1857726,illustrations
900649,3650629,3412638,book-cover-design
880794,2813999,2139411,book-cover-design
915089,3719588,1382956,book-cover-design
890006,3328175,932946,t-shirt-design
882566,3316153,2197260,web-design
882580,3566211,1829926,book-cover-design
894384,1567179,1512744,banner-ad-design
901495,1191440,1555179,product-label-design
901505,2510407,3428751,illustrations
916090,370040,2910240,postcard-flyer-design
919995,3686612,875888,web-design
893426,3619135,1031137,book-cover-design
896423,3596979,2630474,product-packaging-design
884286,3544107,1852383,book-cover-design
918137,1697523,1147797,postcard-flyer-design
884814,3578027,3002879,social-media-pack
888316,3410810,1180779,banner-ad-design
899025,3592978,2784706,product-packaging-design
883004,811531,1509598,illustrations
898014,2012557,825152,t-shirt-design
919347,3018813,987952,brochure-design
915611,3722442,440647,product-label-design
884261,2602534,2765658,t-shirt-design
899535,2651203,867307,product-packaging-design
914203,3715569,3215091,book-cover-design
894485,1901378,845357,book-cover-design
889587,3256252,1619658,product-packaging-design
915863,2734859,3051582,t-shirt-design
916663,3727020,1991298,product-label-design
920183,3743826,3602614,product-label-design
905060,2549638,2931135,t-shirt-design
918387,3734768,1511469,book-cover-design
883952,3560148,2193010,web-design
914335,3716638,3672397,product-label-design
886526,3586237,3384630,social-media-pack
908616,3689917,3088940,brochure-design
912408,3707770,3459364,t-shirt-design
919488,2760905,536379,web-design
919652,3585976,666352,t-shirt-design
917937,2115939,971787,brochure-design
897507,3638463,3088940,postcard-flyer-design
893829,3058359,1410336,postcard-flyer-design
897588,2229445,2136917,illustrations
884299,3273136,2236769,product-label-design
916801,3727522,1695296,postcard-flyer-design
915432,3721304,2973770,social-media-pack
887227,566235,1007506,illustrations
902348,2285427,1665703,book-cover-design
899017,2662571,3088940,postcard-flyer-design
902846,2969647,2840938,product-label-design
895997,3631432,3376086,t-shirt-design
918836,2585032,2716750,t-shirt-design
