id,client_id,designer_id,category
356693,1767161,1711419,business-card-design
335834,2873843,1855967,t-shirt-design
345964,1929820,2561637,book-cover-design
342171,3434503,447656,business-card-design
326729,1801566,1438805,web-design
317314,2020482,1592328,illustrations
321363,3360364,2733444,product-packaging-design
327223,3539289,327001,web-design
322724,3009772,389543,web-design
319037,2070411,2222253,postcard-flyer-design
319470,1679143,307052,postcard-flyer-design
347636,3557967,1902468,product-packaging-design
320352,2887784,2594518,business-card-design
320677,2816770,593930,product-packaging-design
321138,2816770,593930,product-packaging-design
320748,3561779,1329030,book-cover-design
320768,1938856,2590374,illustrations
320782,2739079,2969149,t-shirt-design
321154,3507054,2262884,business-card-design
321106,3537588,2879128,web-design
329052,2098928,432377,illustrations
321894,2098928,432377,illustrations
321507,3056477,417548,t-shirt-design
321523,2814893,2745175,product-packaging-design
324270,2100836,2065934,product-label-design
321960,3523126,379357,product-label-design
322236,3246368,797191,business-card-design
323994,3246368,797191,business-card-design
332303,3570351,435594,web-design
322474,3570351,435594,web-design
322442,2648932,2879128,web-design
322473,3570428,262855,illustrations
325682,3476078,447656,business-card-design
324215,3522769,307052,web-design
322477,3508372,1696696,web-design
322803,3005081,1629783,banner-ad-design
322843,3545232,1851307,product-packaging-design
324532,3571934,896367,illustrations
315519,3318772,2239450,book-cover-design
324242,1463395,845357,book-cover-design
323388,2356991,729409,web-design
323390,2356991,729409,web-design
323389,2356991,729409,web-design
323212,3569545,1786700,book-cover-design
323227,2582108,320195,illustrations
323736,3414788,2091517,web-design
323989,3560658,797191,product-packaging-design
324280,3538243,2879128,web-design
324615,3579769,2536957,product-packaging-design
324594,3579817,955987,t-shirt-design
324604,3579817,1324547,t-shirt-design
324606,3154192,2837122,book-cover-design
324808,3375325,700508,web-design
326211,3575030,438949,business-card-design
326698,3575030,438949,business-card-design
325449,3362807,968837,product-label-design
325448,3523481,2307702,business-card-design
325457,3497502,3215091,book-cover-design
322975,2356991,713184,web-design
334953,2687387,1177907,illustrations
326091,3462647,3349064,postcard-flyer-design
322653,3032188,1703602,illustrations
327435,2025482,1620416,banner-ad-design
326717,3556642,1474111,t-shirt-design
327071,1925185,1506966,business-card-design
320207,3560026,291079,brochure-design
328049,3466836,1474111,product-label-design
321513,2983655,2023913,brochure-design
350513,2646740,2630474,product-packaging-design
320582,3135336,1848752,product-packaging-design
320847,3135336,1848752,product-packaging-design
320581,3555395,249919,book-cover-design
321049,3504146,2919211,product-label-design
321080,3372514,1152951,illustrations
321625,2551322,896312,postcard-flyer-design
322118,3365426,2666329,banner-ad-design
321896,2814893,2745175,product-packaging-design
321919,2869674,3210195,t-shirt-design
323784,3216777,1512891,web-design
322651,3553650,2156310,book-cover-design
343790,3590234,632511,product-label-design
327167,2645192,1252031,t-shirt-design
329423,3562125,1839365,product-packaging-design
327509,3479358,1541665,business-card-design
327675,1808169,721285,illustrations
328831,1808169,721285,illustrations
322427,1808169,721285,illustrations
322396,1279717,655583,product-packaging-design
322699,3522612,1971240,t-shirt-design
323681,3414030,739972,web-design
327822,511063,2245396,product-label-design
327834,3579593,1843193,product-packaging-design
338838,2578266,999126,illustrations
323700,3109009,1730223,web-design
323892,1620145,1176035,product-label-design
323580,2689375,352313,web-design
323591,1763474,2318609,banner-ad-design
323609,1436825,706172,banner-ad-design
323616,3483784,331907,postcard-flyer-design
324353,3494762,2035869,brochure-design
324206,3527662,1176035,product-label-design
324140,3190507,1823080,product-label-design
324209,3271264,3241404,illustrations
326758,3410039,588493,postcard-flyer-design
324722,3417948,3421285,brochure-design
325376,3549101,816335,product-packaging-design
325880,1679143,307052,postcard-flyer-design
325796,2293998,377640,illustrations
325865,3584288,1411712,book-cover-design
325814,1536467,1602477,book-cover-design
336339,3541629,1334807,product-packaging-design
325934,3196659,266062,product-label-design
326216,3587112,592312,illustrations
326581,1355706,403750,book-cover-design
326616,1947935,2912813,t-shirt-design
329978,2776380,896312,brochure-design
327431,3496677,2239450,book-cover-design
327889,3085424,2707519,web-design
335414,3085424,2707519,web-design
329241,3415352,1128671,t-shirt-design
329784,3565390,536379,web-design
319752,3060599,3014211,book-cover-design
329905,2871188,2584708,book-cover-design
330345,1878229,545203,postcard-flyer-design
330361,1775055,1928624,illustrations
330788,3383031,1839365,product-label-design
331211,3607335,1177907,illustrations
322089,1888805,1125581,brochure-design
331581,3016844,1300593,illustrations
331584,1973717,355171,product-packaging-design
333039,1839977,944159,product-label-design
333073,1839977,944159,product-label-design
332498,3210677,1817612,t-shirt-design
331704,2683561,1798542,brochure-design
331965,3484976,352313,web-design
330846,2614155,328320,t-shirt-design
331057,2362301,2283657,book-cover-design
331420,3569912,3400970,business-card-design
328707,2954508,1187404,brochure-design
328937,1360065,787506,product-label-design
340515,3469864,1575195,product-label-design
332322,3567757,291079,postcard-flyer-design
332325,2242825,1859288,web-design
332388,3202825,1401206,book-cover-design
332348,3571790,804386,web-design
331264,3164197,1686662,banner-ad-design
332046,3194267,916904,illustrations
332464,3030925,842110,postcard-flyer-design
331670,2540822,2676922,product-label-design
333700,2540822,2676922,product-label-design
331773,308707,2664869,product-packaging-design
332637,1902832,1240947,brochure-design
332625,2553997,312417,product-packaging-design
338335,3583161,1048754,product-label-design
338353,3583161,1048754,product-label-design
338302,3583161,1048754,product-label-design
332669,3583161,1048754,product-label-design
332186,3126876,1629783,book-cover-design
332597,2048830,308442,brochure-design
332708,3168108,1410336,brochure-design
332732,3567757,1410336,postcard-flyer-design
346427,1889686,858839,web-design
334593,1889686,858839,web-design
337976,1889686,858839,web-design
348830,1889686,858839,web-design
343931,1889686,858839,web-design
332739,3464815,2630474,product-packaging-design
332727,2349906,1465799,product-label-design
332731,1714526,377640,t-shirt-design
332737,3194841,1197866,postcard-flyer-design
333264,3614921,307449,social-media-pack
333263,3614921,307449,social-media-pack
333464,3614860,2226279,t-shirt-design
333107,3475845,2630474,product-label-design
333817,3058031,2755882,product-label-design
334235,1715100,2011219,book-cover-design
334351,3591484,328306,product-label-design
334231,1825234,2019595,book-cover-design
333482,1675998,1602049,banner-ad-design
356556,3355083,343033,web-design
352003,3355083,343033,web-design
337483,1518570,214839,product-label-design
334230,1825234,2019595,book-cover-design
338141,3617200,1418553,web-design
334557,3607141,2665619,banner-ad-design
335825,2767132,898336,product-label-design
334666,1411718,1019310,brochure-design
334936,3024166,675797,illustrations
335037,523971,1803154,business-card-design
335042,3573925,2141287,banner-ad-design
335084,2655231,2098967,product-packaging-design
335062,3619723,897501,banner-ad-design
335381,3520318,1839365,product-packaging-design
335404,1438126,3088940,brochure-design
335427,1208264,1107633,postcard-flyer-design
334633,1865345,1674349,product-packaging-design
334655,2590023,1602049,product-label-design
334943,3569894,1081871,web-design
317492,3501288,1280452,product-packaging-design
334807,2293998,377640,illustrations
334763,3341663,1515782,illustrations
334879,3247601,803609,illustrations
335490,1714526,377640,t-shirt-design
338436,1692835,1163542,brochure-design
336309,3418347,1838239,postcard-flyer-design
335872,1846729,1071096,product-packaging-design
336219,2347792,1676207,product-label-design
336260,2347792,1676207,product-label-design
336658,3292197,2630474,product-label-design
336616,3621892,2728184,business-card-design
338691,1264981,331460,t-shirt-design
339193,3630927,593930,t-shirt-design
330647,3288326,742174,illustrations
319527,3288326,742174,illustrations
336944,3560258,450497,web-design
336943,3475134,896312,postcard-flyer-design
340459,2878662,1994812,web-design
337353,3632455,908510,product-packaging-design
338096,3603352,3347127,product-packaging-design
338425,3613110,2584366,product-label-design
331972,1402549,3028273,illustrations
322149,3512759,1345924,social-media-pack
323323,1915760,375075,illustrations
338997,1967767,1361804,book-cover-design
338716,2621004,303715,product-label-design
338577,3236086,2192200,product-packaging-design
337516,3592127,869004,illustrations
337735,3569491,249919,book-cover-design
330340,1929673,1665956,postcard-flyer-design
338079,3166806,1602477,book-cover-design
346394,3166806,1602477,book-cover-design
338736,3252343,2045368,illustrations
338752,1326892,408007,postcard-flyer-design
338583,2362255,639246,postcard-flyer-design
338686,3488354,2775835,product-label-design
346967,3272220,1868284,web-design
342910,3272220,1868284,web-design
319321,1750949,1285580,web-design
319396,3555728,1315819,product-packaging-design
320536,972480,1787241,web-design
317946,2868164,1084834,banner-ad-design
320529,2889137,352469,illustrations
339313,1438126,3088940,brochure-design
339257,3464964,2552977,postcard-flyer-design
339325,1714526,377640,t-shirt-design
319738,2811239,1329030,book-cover-design
327671,3272030,968837,product-packaging-design
327672,3272030,968837,product-packaging-design
320141,3339279,1920877,book-cover-design
339307,3385931,306572,book-cover-design
339334,3615836,1406045,business-card-design
340271,3504146,2919211,product-label-design
320221,1949642,953121,postcard-flyer-design
