id,type,time_purchased,time_completed,is_refunded
880744,contest,1/2/19 1:31,1/6/19 17:36,0
880825,contest,1/2/19 13:33,1/13/19 7:36,0
880844,contest,1/2/19 14:55,1/30/19 16:53,0
881012,contest,1/2/19 22:16,1/14/19 11:07,0
881046,contest,1/3/19 0:07,1/19/19 3:42,0
881105,contest,1/3/19 5:18,1/30/19 23:58,0
881149,contest,1/3/19 13:13,1/17/19 14:15,0
881203,contest,1/3/19 16:43,1/12/19 17:42,0
881205,contest,1/3/19 16:46,1/15/19 3:01,0
881292,contest,1/3/19 21:09,1/11/19 13:50,0
881297,contest,1/3/19 21:19,2/3/19 19:30,0
881334,contest,1/3/19 23:14,1/19/19 2:13,0
881378,contest,1/4/19 4:16,1/12/19 2:21,0
881383,contest,1/4/19 4:36,1/4/19 12:27,1
881411,contest,1/4/19 9:37,1/18/19 17:06,1
881430,contest,1/4/19 12:43,2/9/19 11:04,0
881501,contest,1/4/19 17:43,1/30/19 7:17,0
881523,contest,1/4/19 19:01,1/18/19 17:19,0
881591,contest,1/4/19 22:17,1/13/19 19:15,0
881606,contest,1/4/19 22:58,1/14/19 20:04,0
881724,contest,1/5/19 17:42,1/24/19 9:43,0
881731,contest,1/5/19 18:16,1/14/19 18:44,0
881792,contest,1/5/19 23:50,1/15/19 22:59,0
881823,contest,1/6/19 3:24,2/7/19 11:19,0
881826,contest,1/6/19 3:36,1/14/19 3:05,1
881910,contest,1/6/19 18:53,1/20/19 17:22,0
881914,contest,1/6/19 19:12,1/8/19 21:21,0
882016,contest,1/7/19 3:59,1/11/19 19:21,1
882027,contest,1/7/19 5:33,2/3/19 23:10,0
882116,contest,1/7/19 15:40,1/31/19 10:44,0
882245,contest,1/7/19 21:29,3/4/19 15:01,0
882258,contest,1/7/19 21:50,1/11/19 19:54,0
882296,contest,1/7/19 23:27,2/15/19 14:19,0
882332,contest,1/8/19 2:39,2/6/19 8:10,0
882371,contest,1/8/19 6:26,1/16/19 19:37,0
882427,contest,1/8/19 12:55,1/23/19 9:04,0
882456,contest,1/8/19 15:14,1/23/19 17:50,0
882494,contest,1/8/19 17:11,1/15/19 21:09,0
882548,contest,1/8/19 19:28,1/27/19 16:05,0
882648,contest,1/8/19 23:56,2/16/19 16:44,0
882663,contest,1/9/19 1:26,1/25/19 14:16,0
882671,contest,1/9/19 2:22,1/31/19 22:01,1
882692,contest,1/9/19 4:05,1/17/19 22:07,1
882805,contest,1/9/19 16:54,1/23/19 8:02,0
882806,contest,1/9/19 16:58,1/21/19 12:24,0
882823,contest,1/9/19 17:50,1/17/19 14:49,0
882829,contest,1/9/19 18:03,1/23/19 16:32,0
882842,contest,1/9/19 18:34,2/11/19 13:32,0
882913,contest,1/9/19 21:25,1/20/19 20:31,0
882982,contest,1/10/19 1:12,1/30/19 18:50,0
883066,contest,1/10/19 9:50,4/6/19 21:42,0
883089,contest,1/10/19 12:31,1/28/19 19:36,0
883101,contest,1/10/19 14:01,1/30/19 18:49,0
880621,contest,1/1/19 0:11,1/11/19 23:49,0
880846,contest,1/2/19 15:02,1/15/19 14:28,0
880853,contest,1/2/19 15:22,1/16/19 7:46,0
880861,contest,1/2/19 15:38,1/15/19 16:13,1
880962,contest,1/2/19 19:57,1/10/19 21:45,0
881024,contest,1/2/19 22:55,1/17/19 19:22,0
881050,contest,1/3/19 0:30,1/9/19 5:10,0
881092,contest,1/3/19 4:18,1/15/19 1:38,0
881099,contest,1/3/19 4:59,1/22/19 17:08,0
881185,contest,1/3/19 15:56,1/28/19 13:36,0
881204,contest,1/3/19 16:43,2/5/19 3:46,0
881208,contest,1/3/19 16:56,1/5/19 14:50,0
881220,contest,1/3/19 17:33,1/16/19 3:44,0
881225,contest,1/3/19 18:00,1/9/19 15:04,0
881243,contest,1/3/19 18:52,1/17/19 3:47,1
881367,contest,1/4/19 2:47,1/19/19 22:47,0
881429,contest,1/4/19 12:41,1/17/19 9:53,0
881452,contest,1/4/19 14:49,1/30/19 21:01,1
881458,contest,1/4/19 15:18,1/24/19 21:12,1
881463,contest,1/4/19 15:40,1/15/19 14:28,0
881470,contest,1/4/19 15:51,1/14/19 11:41,0
881502,contest,1/4/19 17:48,1/23/19 0:51,0
881542,contest,1/4/19 19:54,1/10/19 12:20,1
881605,contest,1/4/19 22:55,1/21/19 19:12,0
881768,contest,1/5/19 21:05,1/14/19 16:42,1
881841,contest,1/6/19 5:43,1/17/19 13:47,0
881844,contest,1/6/19 7:03,1/25/19 7:55,0
881953,contest,1/6/19 22:46,2/17/19 5:59,0
882009,contest,1/7/19 3:30,3/18/19 3:02,0
882064,contest,1/7/19 11:42,1/18/19 19:39,0
882152,contest,1/7/19 17:27,1/7/19 17:32,1
882154,contest,1/7/19 17:28,1/17/19 18:02,0
